         568789965 function calls (557406642 primitive calls) in 527.294 seconds

   Ordered by: cumulative time
   List reduced from 4935 to 500 due to restriction <500>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    1.771    0.295 update_rebalance_events.py:82(_load_destination_info_df)
   258552    0.116    0.000    1.759    0.000 tasks.py:618(_ensure_future)
  1429107    0.294    0.000    1.749    0.000 attributes.py:536(__set__)
   279624    0.134    0.000    1.749    0.000 base_events.py:431(create_task)
       11    0.000    0.000    1.739    0.158 update_autopool_states.py:38(_fetch_new_autopool_state_rows)
    50979    0.011    0.000    1.737    0.000 main.py:223(toChecksumAddress)
  1599303    0.881    0.000    1.653    0.000 conversions.py:86(to_bytes)
        3    0.001    0.000    1.653    0.551 update_destinations_tokens_and_autopoolDestinations_table.py:62(_make_destination_vault_dicts)
        2    0.000    0.000    1.626    0.813 update_destinations_states_table.py:213(_fetch_destination_summary_stats_df)
   279624    0.727    0.000    1.597    0.000 tasks.py:93(__init__)
        2    0.000    0.000    1.549    0.774 update_destinations_states_table.py:68(_fetch_lp_token_spot_prices)
    42936    0.050    0.000    1.486    0.000 connector.py:520(connect)
 16791259    1.480    0.000    1.480    0.000 {method 'startswith' of 'str' objects}
  1429107    0.580    0.000    1.455    0.000 attributes.py:1261(set)
  1578722    0.384    0.000    1.452    0.000 _raw_api.py:154(__init__)
       20    0.000    0.000    1.392    0.070 eth.py:595(block_number)
       20    0.000    0.000    1.392    0.070 constants.py:50(get_block_number_with_retry)
   734642    0.348    0.000    1.376    0.000 series.py:1095(__getitem__)
   406504    0.090    0.000    1.372    0.000 abi.py:840(map_to_typed_data)
    42936    0.021    0.000    1.372    0.000 connector.py:1046(_create_connection)
    42940    0.060    0.000    1.352    0.000 connector.py:1327(_create_direct_connection)
        3    0.000    0.000    1.348    0.449 update_destinations_tokens_and_autopoolDestinations_table.py:18(_fetch_token_rows)
  1578722    0.376    0.000    1.307    0.000 _raw_api.py:121(create_string_buffer)
   759166    0.258    0.000    1.250    0.000 base_events.py:743(call_soon)
    50134    0.084    0.000    1.228    0.000 sslproto.py:671(_process_write_backlog)
        8    0.000    0.000    1.228    0.153 update_transactions.py:45(fetch_transaction_rows_bulk_from_alchemy)
      273    0.001    0.000    1.225    0.004 base.py:708(checkout)
      273    0.000    0.000    1.222    0.004 impl.py:153(_do_get)
        1    0.000    0.000    1.220    1.220 base.py:387(_create_connection)
        1    0.000    0.000    1.220    1.220 base.py:667(__init__)
        1    0.000    0.000    1.220    1.220 base.py:889(__connect)
   121770    0.025    0.000    1.206    0.000 normalizers.py:76(wrapper)
    35434    0.010    0.000    1.197    0.000 get_transactions_etherscan.py:79(<lambda>)
      185    0.001    0.000    1.135    0.006 result.py:543(_allrows)
  2095442    0.476    0.000    1.102    0.000 decorators.py:44(_assert_hexstr_or_text_kwarg_is_text_type)
        2    0.000    0.000    1.101    0.551 update_token_values_table.py:164(_build_backing_calls)
 29160906    1.085    0.000    1.085    0.000 typing.py:2483(__call__)
   240071    0.292    0.000    1.057    0.000 decoding.py:154(__init__)
306356/306020    0.116    0.000    1.044    0.000 abi.py:866(__new__)
        3    0.000    0.000    1.041    0.347 block_timestamp.py:94(get_block_by_timestamp_etherscan)
 32253910    1.002    0.000    1.002    0.000 {method 'upper' of 'str' objects}
   238336    0.216    0.000    0.981    0.000 encoding.py:530(encode)
    22258    0.014    0.000    0.967    0.000 _staggered.py:110(run_one_coro)
    22266    0.032    0.000    0.967    0.000 impl.py:139(_connect_sock)
        1    0.000    0.000    0.954    0.954 update_autopools_table.py:30(ensure_autopools_are_current)
   759166    0.578    0.000    0.934    0.000 base_events.py:772(_call_soon)
    32918    0.050    0.000    0.914    0.000 connector.py:1102(_wrap_create_connection)
   357121    0.130    0.000    0.909    0.000 futures.py:251(set_result)
    30142    0.007    0.000    0.900    0.000 normalizers.py:193(abi_address_to_hex)
    10110    0.009    0.000    0.895    0.000 validation.py:163(validate_address)
   204550    0.119    0.000    0.858    0.000 attr.py:491(__call__)
       13    0.000    0.000    0.825    0.063 parsers.py:224(parse)
       13    0.000    0.000    0.825    0.063 parsers.py:889(_do_parse)
       13    0.001    0.000    0.825    0.063 parsers.py:897(_add_modeled_parse)
       13    0.000    0.000    0.823    0.063 parsers.py:924(_parse_payload)
      185    0.431    0.002    0.814    0.004 result.py:551(<listcomp>)
   508671    0.311    0.000    0.812    0.000 hexadecimal.py:14(decode_hex)
    22266    0.038    0.000    0.808    0.000 selector_events.py:481(sock_connect)
   358207    0.207    0.000    0.783    0.000 futures.py:159(__schedule_callbacks)
   847160    0.261    0.000    0.771    0.000 types.py:35(is_list_like)
       87    0.027    0.000    0.761    0.009 postgres_operations.py:111(<listcomp>)
 75969/13    0.024    0.000    0.760    0.058 parsers.py:329(_parse_shape)
  9149/13    0.049    0.000    0.760    0.058 parsers.py:419(_handle_structure)
  7028/13    0.003    0.000    0.754    0.058 parsers.py:1000(_handle_list)
  7028/13    0.004    0.000    0.754    0.058 parsers.py:409(_handle_list)
  7028/13    0.005    0.000    0.754    0.058 parsers.py:335(_handle_list)
      126    0.001    0.000    0.744    0.006 socket.py:938(getaddrinfo)
